date,Q1,Q2,Q3,Q4,Q5,基准(等权全池)
2014-10-15,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-16,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-22,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-23,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-29,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-30,1.0,1.0,1.0,1.0,1.0,1.0
2014-10-31,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-06,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-07,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-12,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-13,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-14,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-17,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-18,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-19,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-20,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-21,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-24,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-25,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-26,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-27,1.0,1.0,1.0,1.0,1.0,1.0
2014-11-28,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-01,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-02,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-03,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-04,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-05,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-08,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-09,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-10,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-11,1.0,1.0,1.0,1.0,1.0,1.0
2014-12-12,1.0,1.0,1.0,1.0,1.0,1.0
